date,symbol,rank,score,price,ret5,ret10,ret15,vol5
2026-08-19,NCC,254,-1.9829,140.38,-3.03,-1.91,1.95,1.5064
2026-08-19,TARIL,255,-1.9968,296.3,-0.94,0.27,-2.05,1.3597
2026-08-19,NUVAMA,256,-2.1061,1731.2,5.84,-1.95,-9.67,2.7456
2026-08-19,TATACAP,257,-2.1584,359.25,-2.34,-1.51,2.48,0.6319
2026-08-19,GAIL,258,-2.1716,173.5,-1.05,-0.86,-0.94,1.3118
2026-08-19,OLECTRA,259,-2.2268,1324.1,-4.85,-1.76,0.87,2.5779
2026-08-19,THERMAX,260,-2.4286,4079.9,1.35,1.62,-7.62,1.9183
2026-08-19,ABCAPITAL,261,-2.5562,402.0,-1.26,-4.29,2.72,1.1068
2026-08-19,INDIGO,262,-2.644,5275.5,-1.09,-2.31,0.87,0.9543
2026-08-19,INDIAMART,263,-2.6536,1753.1,-1.75,-1.22,0.58,0.9013
2026-08-19,INDUSINDBK,264,-2.6779,1010.6,-1.63,-1.78,0.39,1.1247
2026-08-19,JSWSTEEL,265,-2.7061,1267.6,-1.23,-2.49,1.66,0.7625
2026-08-19,INDUSTOWER,266,-2.7495,372.4,0.83,-4.51,-2.41,2.2178
2026-08-19,BANDHANBNK,267,-2.7521,170.5,-2.01,-1.79,0.98,1.0225
2026-08-19,PWL,268,-2.7731,122.05,-2.76,-3.23,-1.73,2.7876
2026-08-19,CIEINDIA,269,-2.8025,411.3,0.44,-1.99,-0.51,0.7344
2026-08-19,TATASTEEL,270,-2.8326,185.5,-1.46,-2.85,1.57,0.9686
2026-08-19,SCHNEIDER,271,-2.8411,1274.4,-9.19,-4.46,-4.37,6.3429
2026-08-19,AAVAS,272,-2.9456,1389.8,-1.01,-3.42,-0.06,1.5236
2026-08-19,JUBLINGREA,273,-3.1324,732.8,-1.22,-3.25,-1.52,1.9132
2026-08-19,EMAMILTD,274,-3.1395,404.5,-1.22,-0.37,-2.32,1.245
2026-08-19,VEDL,275,-3.1548,264.0,-4.0,-1.86,1.79,1.2887
